epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,440.257,1.12578,0.91514,1.11467,0.76643,0.76733,0.83877,0.62618,1.07679,0.81026,1.11423,0.0095941,0.0095941,0.0095941
43,450.816,1.13913,0.92695,1.11554,0.80268,0.7911,0.84665,0.65568,0.98836,0.78621,1.04564,0.0095842,0.0095842,0.0095842
44,460.124,1.1236,0.92085,1.11703,0.80038,0.72265,0.82299,0.60387,1.06007,0.84386,1.09036,0.0095743,0.0095743,0.0095743
45,471.447,1.14271,0.89466,1.10965,0.83787,0.78855,0.86549,0.70919,0.91383,0.74675,1.03298,0.0095644,0.0095644,0.0095644
46,480.977,1.12332,0.90353,1.11066,0.92974,0.79347,0.90711,0.69714,0.98533,0.73896,1.03558,0.0095545,0.0095545,0.0095545
47,491.068,1.15789,0.90506,1.11633,0.75404,0.57346,0.69184,0.45836,1.28062,1.1874,1.18456,0.0095446,0.0095446,0.0095446
48,502.487,1.12329,0.88958,1.11148,0.82616,0.7952,0.85987,0.66041,0.99802,0.74863,1.04958,0.0095347,0.0095347,0.0095347
49,511.387,1.11026,0.88999,1.10891,0.91199,0.76649,0.84274,0.63036,1.02779,0.79943,1.06845,0.0095248,0.0095248,0.0095248
50,522.675,1.14537,0.89721,1.11565,0.91001,0.78958,0.90333,0.68282,1.02464,0.77712,1.05959,0.0095149,0.0095149,0.0095149
51,533.506,1.15177,0.89751,1.11255,0.76761,0.80262,0.82416,0.61396,1.01801,0.82331,1.05942,0.009505,0.009505,0.009505
52,542.322,1.10924,0.88094,1.08948,0.91182,0.73922,0.88249,0.67668,1.00395,0.77173,1.06378,0.0094951,0.0094951,0.0094951
53,553.345,1.12824,0.91125,1.11405,0.91751,0.76381,0.8901,0.69087,0.94433,0.72516,1.0371,0.0094852,0.0094852,0.0094852
54,564.123,1.11529,0.89197,1.10177,0.91625,0.75837,0.81666,0.66203,0.96984,0.70527,1.05018,0.0094753,0.0094753,0.0094753
55,573.233,1.12788,0.89328,1.10227,0.90692,0.7069,0.8579,0.68015,0.94385,0.68559,1.03004,0.0094654,0.0094654,0.0094654
56,584.517,1.10921,0.88232,1.09732,0.85998,0.78276,0.85947,0.66886,0.99475,0.72056,1.06526,0.0094555,0.0094555,0.0094555
57,594.228,1.11208,0.87615,1.10403,0.89392,0.7452,0.87342,0.65555,1.0236,0.7483,1.07356,0.0094456,0.0094456,0.0094456
58,604.384,1.1372,0.89339,1.10329,0.87922,0.81717,0.88777,0.70907,0.94976,0.73284,1.04721,0.0094357,0.0094357,0.0094357
59,615.862,1.10632,0.87959,1.09994,0.82971,0.69047,0.80649,0.62388,0.95423,0.78926,1.03183,0.0094258,0.0094258,0.0094258
60,624.887,1.12635,0.8861,1.10562,0.87922,0.65366,0.80676,0.61297,1.00218,0.81371,1.05248,0.0094159,0.0094159,0.0094159
61,635.906,1.10965,0.88607,1.10472,0.90645,0.74757,0.84123,0.65876,0.92482,0.80729,1.03678,0.009406,0.009406,0.009406
62,646.96,1.104,0.8709,1.1004,0.94883,0.75051,0.8374,0.63302,0.97352,0.73813,1.03173,0.0093961,0.0093961,0.0093961
63,655.736,1.11732,0.86674,1.10443,0.9351,0.77916,0.8932,0.71882,0.8672,0.63662,1.01772,0.0093862,0.0093862,0.0093862
64,666.712,1.09403,0.85872,1.08926,0.78633,0.86293,0.88968,0.68688,0.93871,0.66816,1.00497,0.0093763,0.0093763,0.0093763
65,677.669,1.12104,0.8751,1.10842,0.85568,0.75817,0.86381,0.65151,0.94588,0.77037,1.03325,0.0093664,0.0093664,0.0093664
66,686.558,1.08969,0.84882,1.08837,0.76802,0.84219,0.90667,0.68735,0.93172,0.6114,1.01731,0.0093565,0.0093565,0.0093565
67,697.776,1.12119,0.8663,1.09842,0.92496,0.70408,0.78599,0.60707,0.98481,0.73762,1.07199,0.0093466,0.0093466,0.0093466
68,708.433,1.09761,0.86123,1.08818,0.90199,0.76162,0.84857,0.66434,1.00054,0.79984,1.07834,0.0093367,0.0093367,0.0093367
69,717.79,1.10063,0.85449,1.09873,0.9216,0.69123,0.79638,0.61116,0.9816,0.78039,1.07248,0.0093268,0.0093268,0.0093268
70,728.972,1.10667,0.84785,1.08679,0.86311,0.71742,0.83878,0.66615,0.92548,0.82586,1.06052,0.0093169,0.0093169,0.0093169
71,738.492,1.1037,0.85082,1.0969,0.85532,0.77424,0.85151,0.68463,0.91617,0.74292,1.03841,0.009307,0.009307,0.009307
72,748.746,1.09099,0.85488,1.08822,0.88586,0.91019,0.93806,0.74517,0.87502,0.63938,1.01946,0.0092971,0.0092971,0.0092971
73,760.311,1.09675,0.8479,1.09026,0.79672,0.80202,0.86296,0.68336,0.87709,0.66723,1.00523,0.0092872,0.0092872,0.0092872
74,769.054,1.10993,0.87095,1.09811,0.86991,0.80232,0.91932,0.72451,0.89709,0.57899,1.01151,0.0092773,0.0092773,0.0092773
75,780.081,1.10143,0.8485,1.09414,0.77153,0.73115,0.79378,0.60598,0.87516,0.73448,1.00416,0.0092674,0.0092674,0.0092674
76,791.21,1.09899,0.84546,1.09699,0.86923,0.78396,0.88207,0.70644,0.91371,0.66318,1.0535,0.0092575,0.0092575,0.0092575
77,799.972,1.08625,0.83624,1.0827,0.72305,0.83705,0.83771,0.63426,0.92755,0.76758,1.06172,0.0092476,0.0092476,0.0092476
78,811,1.06936,0.83365,1.08282,0.89042,0.8601,0.92551,0.71069,0.9317,0.58437,1.0325,0.0092377,0.0092377,0.0092377
79,822.285,1.11848,0.84967,1.08916,0.9232,0.79246,0.91456,0.71697,0.92544,0.61355,1.01667,0.0092278,0.0092278,0.0092278
80,831.245,1.07927,0.82409,1.08589,0.96327,0.78647,0.92346,0.74188,0.88588,0.57995,1.00545,0.0092179,0.0092179,0.0092179
81,842.766,1.08262,0.82517,1.08766,0.86038,0.77298,0.89247,0.71723,0.86981,0.61411,1.00415,0.009208,0.009208,0.009208
82,853.112,1.10581,0.83797,1.08507,0.95542,0.75627,0.90882,0.73125,0.87755,0.6314,0.98598,0.0091981,0.0091981,0.0091981
83,862.325,1.07884,0.84711,1.09458,0.88089,0.73975,0.87256,0.67533,0.89066,0.68893,0.99225,0.0091882,0.0091882,0.0091882
84,873.703,1.07421,0.82872,1.0797,0.79725,0.8568,0.89566,0.69529,0.93754,0.6785,1.02423,0.0091783,0.0091783,0.0091783
85,883.486,1.07008,0.83143,1.08676,0.92758,0.74554,0.90679,0.71648,0.92606,0.65372,1.01775,0.0091684,0.0091684,0.0091684
86,893.365,1.08321,0.82664,1.08172,0.8586,0.80328,0.87333,0.68975,0.96705,0.66796,1.04257,0.0091585,0.0091585,0.0091585
87,904.426,1.08336,0.82919,1.07963,0.94669,0.77166,0.93396,0.75223,0.85873,0.57887,1.00071,0.0091486,0.0091486,0.0091486
88,914.002,1.0528,0.793,1.08069,0.91926,0.70734,0.86058,0.6769,0.88281,0.61259,1.03068,0.0091387,0.0091387,0.0091387
89,923.94,1.06863,0.81968,1.07674,0.85715,0.8489,0.90631,0.71978,0.90068,0.60099,1.00201,0.0091288,0.0091288,0.0091288
90,935.188,1.07073,0.82593,1.07187,0.91178,0.91992,0.94112,0.75125,0.90546,0.54512,0.99237,0.0091189,0.0091189,0.0091189
91,944.544,1.07712,0.82906,1.08821,0.90367,0.90457,0.9389,0.76881,0.85633,0.6398,0.98949,0.009109,0.009109,0.009109
92,954.876,1.05626,0.80948,1.08159,0.7565,0.87399,0.85789,0.67736,0.92126,0.68033,1.00347,0.0090991,0.0090991,0.0090991
93,965.847,1.05072,0.81272,1.07635,0.75712,0.86194,0.87186,0.68231,0.86647,0.66973,0.9803,0.0090892,0.0090892,0.0090892
94,974.782,1.08396,0.83152,1.08655,0.88154,0.72465,0.89773,0.70324,0.85417,0.65301,0.98879,0.0090793,0.0090793,0.0090793
95,985.759,1.09267,0.8224,1.08346,0.95146,0.88634,0.93614,0.75643,0.82123,0.58988,0.97666,0.0090694,0.0090694,0.0090694
96,997.129,1.08662,0.82027,1.07991,0.90613,0.9266,0.93961,0.7524,0.80038,0.55688,0.96691,0.0090595,0.0090595,0.0090595
97,1005.82,1.07132,0.80871,1.07791,0.81308,0.92677,0.93476,0.74605,0.81105,0.62083,0.97195,0.0090496,0.0090496,0.0090496
98,1016.81,1.0695,0.81719,1.07973,0.88742,0.82483,0.93235,0.7233,0.89176,0.62241,0.99726,0.0090397,0.0090397,0.0090397
